id:ID,:LABEL,title,name,description,resource_type,summary,source_program,version,date_published,file_type,concept_category,definition,competency_category,level,scenario_type,operational_context,role_description,expected_minimum_experience,program_type,manufacturer,model_number,instrument_type,detection_principle
c_risk_adl_aal,Concept,,Risk-Based ADLs and AALs for Low-Flow Air Samples,"500-mrem, 10^-4, and 10^-6 risk-based limits for low-flow air particulate samples.",,,,,,Dose Assessment,Risk-based ADL/AAL thresholds for long-term air monitoring.,,,,,,,,,,,,
c_air_scenarios,Concept,,Air Particulate Analytical Scenarios for Radiological Incidents,Three structured EPA air analysis scenarios.,,,,,,Laboratory Surge Operations,Structured analytical workflows for airborne radionuclides.,,,,,,,,,,,,
c_sum_fractions_air,Concept,,Sum-of-Fractions Rule for Airborne Radionuclide Dose,Dose/risk exceedance test for multi-radionuclide mixtures.,,,,,,Uncertainty & Statistics,Sum(activity/ADL) ≥ 1 indicates ADL exceedance.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_137cs_support,Concept,,137Cs Internal Contamination and Treatment Decision Support,137Cs intake pathways and clinical MCM prioritization.,,HPGe,,,,Clinical Interpretation & Decision-Making,Rapid 137Cs urine bioassay supports Prussian Blue decisions.,,,,,,,,,,,,
c_60co_pathways,Concept,,60Co Internal Contamination Pathways and Organ Retention,Inhalation-based 60Co biodistribution and long retention.,,HPGe,,,,Dose Assessment,60Co biodistribution and retention behavior.,,,,,,,,,,,,
c_192ir_exposure,Concept,,192Ir Medical and Industrial Exposure Pathways,Medical radiography and industrial radiography exposure pathways.,,HPGe,,,,Dose Assessment,192Ir exposure pathways relevant to bioassay interpretation.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_air_decision_paths,Concept,,Air Radionuclide Analytical Decision Paths,Decision trees for air particulate analysis during INS.,,EPA,,,,Laboratory Surge Operations,Structured radioanalytical workflow routing.,,,,,,,,,,,,
c_air_goals_ins,Concept,,Primary Goals of Air Particulate Analysis Following INS,Immediate & long-term decision goals after a radiological incident.,,EPA,,,,Laboratory Surge Operations,"Goals: risk determination, characterization, recovery planning.",,,,,,,,,,,,
c_sample_prioritization_air,Concept,,Sample Prioritization for Radiological Air Monitoring,Prioritization based on incident context and screening.,,EPA,,,,Laboratory Surge Operations,"Priority assignment based on ADLs, risk levels, field conditions.",,,,,,,,,,,,
c_adl_priority_highflow,Concept,,ADL-Based Priority Classification for High-Flow Air Samples,2 rem / 500 mrem ADL logic for high-flow filters.,,EPA,,,,Laboratory Surge Operations,ADL-driven priority classification of high-flow samples.,,,,,,,,,,,,
c_priority_workflow_s2,Concept,,Priority-Based Workflow for Scenario 2 Air Samples,Priority workflow for 500-mrem/10^-4/10^-6 thresholds.,,EPA,,,,Laboratory Surge Operations,Risk-based priority ordering for low-flow samples.,,,,,,,,,,,,
c_ph_utility_hpge,Concept,,Public Health Utility of Rapid HPGe Bioassay,"HPGe supports surge response, triage, and public reassurance.",,HPGe,,,,Laboratory Surge Operations,Rapid HPGe urine screening in population monitoring.,,,,,,,,,,,,
c_decision_trees_air,Concept,,Analytical Decision Trees for Radiological Air Samples,Structured decision logic for analytical routing.,,EPA,,,,Rapid Laboratory Methods,Decision-tree–based routing for air analysis.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_accuracy_hpge,Concept,,Method Accuracy in HPGe Gamma Bioassay,Measured vs nominal bias evaluation.,,HPGe,,,,Analytical Methods (General),Accuracy validation across radionuclides.,,,,,,,,,,,,
c_precision_hpge,Concept,,Method Precision in HPGe Gamma Bioassay,Repeatability and detector variability evaluation.,,HPGe,,,,Analytical Methods (General),Precision validation.,,,,,,,,,,,,
c_linearity_hpge,Concept,,Linearity of Response in HPGe Gamma Bioassay,Proportionality of measured vs nominal activity.,,HPGe,,,,Analytical Methods (General),Linearity validation.,,,,,,,,,,,,
c_max_range_hpge,Concept,,Maximum Reportable Range in HPGe Bioassay,Upper valid activity limits for quantification.,,HPGe,,,,Analytical Methods (General),Reportable range limits.,,,,,,,,,,,,
c_specificity_hpge,Concept,,Method Specificity for Target Radionuclides,Ability to identify 137Cs/60Co/192Ir without interferences.,,HPGe,,,,Analytical Methods (General),Specificity validation.,,,,,,,,,,,,
c_nuclide_specific_s3,Concept,,Radionuclide-Specific Analyses and MQO Scaling in Scenario 3,Alpha/beta/gamma method selection scaled to MQOs.,,EPA,,,,Analytical Methods (General),Radionuclide-targeted analyses for known mixtures.,,,,,,,,,,,,
c_emission_class_s3,Concept,,Emission-Type Classification for Scenario 3,"Alpha-only, beta-only, or mixed classification.",,EPA,,,,Analytical Methods (General),Emission-type decision branching.,,,,,,,,,,,,
c_alpha_beta_air,Concept,,Radiochemical Alpha and Beta Analyses for Air Particulates,Radiochemical procedures triggered by screening & gamma results.,,EPA,,,,Analytical Methods (General),Alpha/beta radiochemistry for air particulates.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_hpge_design,Concept,,HPGe Well Detector System Design,"Well geometry, summing, efficiency, and performance.",,HPGe,,,,Instrumentation,HPGe well detector design considerations.,,,,,,,,,,,,
c_compton_hpge,Concept,,Compton Interference and False Positives,Spectral distortion due to Compton scattering.,,HPGe,,,,Gamma Spectroscopy,Compton continuum impact on peak interpretation.,,,,,,,,,,,,
c_tcc_hpge,Concept,,True Cascade Correction (TCC) Efficiency Calibration,TCC efficiency calibration method in GammaVision.,,HPGe,,,,Calibration,Cascade summing corrections using reference sources.,,,,,,,,,,,,
c_iodine_gammaspec_s1,Concept,,Radioiodine Cartridge Gamma Spectrometry in Scenario 1,Identification of 131I/125I/129I in iodine cartridges.,,EPA,,,,Gamma Spectroscopy,Radioiodine gamma spectrometry.,,,,,,,,,,,,
c_gamma_id_s1,Concept,,Gamma Spectrometry for Radionuclide Identification in Scenario 1,Gamma spec on filters/cartridges for ADL decision support.,,EPA,,,,Gamma Spectroscopy,Gamma ID workflow in Scenario 1.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_air_filters,Concept,,Air Filter Sampling for Airborne Radionuclides,Air filters collecting aerosolized radionuclides.,,EPA,,,,Air Filter Analytical Methods,Particulate air filter sampling.,,,,,,,,,,,,
c_highflow_chars,Concept,,High-Flow Air Sampling Characteristics for Incident Response,"Flow rates, durations, filter types.",,EPA,,,,Air Filter Analytical Methods,High-flow sampling parameters.,,,,,,,,,,,,
c_lowflow_chars,Concept,,Low-Flow Air Sampling Characteristics for Incident Response,Parameters for low-flow sampling.,,EPA,,,,Air Filter Analytical Methods,Low-flow sampling parameters.,,,,,,,,,,,,
c_filter_dissolution,Concept,,Filter Dissolution for Confirmatory Radionuclide Analysis,Complete filter dissolution for confirmatory radiochemistry.,,EPA,,,,Air Filter Analytical Methods,Dissolution for alpha/beta/gamma analyses.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_gross_highflow,Concept,,"Gross Alpha, Beta/Gamma, and Gamma Screening for High-Flow Filters",Initial rapid scans for high-activity filters.,,EPA,,,,Gross Screening Methods,Gross screening for high-flow filters.,,,,,,,,,,,,
c_gross_lowflow,Concept,,Gross Screening and Priority Assignment for Low-Flow Filters,Screening to determine ADL exceedance.,,EPA,,,,Gross Screening Methods,Gross screening for low-flow filters.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_mqos_incident,Concept,,Measurement Quality Objectives (MQOs) for Incident Response,Performance targets for detection limits & uncertainty.,,EPA,,,,Quality Systems,Incident-response MQOs.,,,,,,,,,,,,
c_stability_hpge,Concept,,Sample and Control Stability in HPGe Bioassay,Stability of urine QC/patient samples over time.,,HPGe,,,,Quality Systems,Sample stability impacts on activity.,,,,,,,,,,,,
c_robust_time_hpge,Concept,,Robustness of Count Time in HPGe Bioassay,Count time impact on uncertainty & throughput.,,HPGe,,,,Quality Systems,Robustness to count-time changes.,,,,,,,,,,,,
c_robust_hv_vol_hpge,Concept,,Robustness to HV and Sample Volume Variations,HV and fill-volume sensitivity.,,HPGe,,,,Quality Systems,HV/volume robustness.,,,,,,,,,,,,
c_discrepancy_resolution_air,Concept,,Discrepancy Resolution Between Screening and Nuclide-Specific Results,"Recounts, reprocessing, documentation.",,EPA,,,,Quality Systems,Discrepancy resolution workflow.,,,,,,,,,,,,
c_reporting_s3,Concept,,"Reporting, Verification, and Archiving in Scenario 3","Reporting exceedances, verification, and archiving.",,EPA,,,,Quality Systems,Scenario 3 reporting & archiving.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_lod_hpge,Concept,,Limit of Detection Modeling for HPGe Bioassay,LOD statistical modeling for gamma bioassay.,,HPGe,,,,Uncertainty & Statistics,LOD modeling for 137Cs/60Co/192Ir.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_rfa_nrf,Concept,,Responsible Federal Agency (RFA) Responsibilities under the NRF,EPA duties as RFA under NRF.,,EPA,,,,Incident Management & ICS Integration,EPA environmental surveillance & remediation duties.,,,,,,,,,,,,
c_incident_phases,Concept,,Incident Temporal Phases for Radiological Response,Early/intermediate/recovery shifts in analytical priorities.,,EPA,,,,Incident Temporal Phases,Incident time-phase classification.,,,,,,,,,,,,
